datum	ellenfel	lott	kapott	tipus	helyszin	mpont	epont	mhelyezes	ehelyezes
1989.01.29	Bulgaria	7	4	Magyar Nemzet Cup	Hungary	1273	1145	21	22
1985.03.28	Netherlands	4	12	World Championship B	Switzerland	1366	1695	20	14
1998.03.28	Romania	3	2	World Championship C	Hungary	1484	1466	23	25
1995.03.25	Estonia	2	6	World Championship C	Bulgaria	1245	1833	27	18
2003.11.07	Netherlands	3	3	Budapest Tournament	Hungary	1653	1455	20	25
1981.03.07	Austria	0	7	World Championship C	China	1380	1534	20	16
1960.02.12	Austria	1	4		West Germany	1647	1529	14	16
2009.11.07	Croatia	7	1	Budapest Tournament	Hungary	1780	1244	20	28
1935.01.24	Belgium	6	1	World Championship	Switzerland	1787	1549	10	18
1975.01.23	Yugoslavia	3	6		Yugoslavia	1490	1770	16	10
1978.03.20	Japan	1	2	World Championship B	Yugoslavia	1598	1755	15	12
2015.11.06	Denmark	1	1	Euro Ice Hockey Challenge	Norway	1864	2027	18	15
2021.11.11	Italy	4	1	Euro Ice Hockey Challenge	Hungary	1775	1690	19	22
2013.02.09	Poland	2	1	Euro Ice Hockey Challenge	Poland	1727	1683	21	23
1972.12.30	Denmark	3	8		Denmark	1459	1111	18	23
2009.05.04	Germany	1	2	World Championship	Switzerland	1753	2073	20	11
2020.02.06	Estonia	4	1	Olympic Games qualifier	Great Britain	1715	1392	21	26
1967.03.20	Austria	4	5	World Championship B	Austria	1490	1539	17	16
1971.02.23	France	1	4		France	1531	1451	17	18
2019.04.10	Poland	1	1		Hungary	1745	1686	20	22
1994.03.11	Slovakia	2	11		Slovakia	1159	2217	30	8
1982.02.07	Romania	4	1	Magyar Nemzet Cup	Hungary	1449	1611	18	15
1933.02.23	Canada	1	3	World Championship	Czechoslovakia	1713	2589	12	1
1975.03.05	Bulgaria	6	4	World Championship C	Bulgaria	1500	1430	16	18
1973.03.18	Denmark	11	5	World Championship C	the Netherlands	1532	1082	16	23
1937.02.19	Germany	2	2	World Championship	Great Britain	1821	1961	10	6
1965.12.11	East Germany	1	9		East Germany	1542	1999	16	6
1988.01.24	Denmark	4	4	Magyar Nemzet Cup	Hungary	1282	1439	21	19
2006.04.06	Germany	2	3		Hungary	1644	2021	21	11
2011.04.09	Slovenia	5	1		Hungary	1800	1932	20	14
1979.03.04	Italy	2	7		Italy	1531	1500	14	17
1967.03.25	Italy	4	4	World Championship B	Austria	1490	1670	17	13
2019.02.07	Slovenia	1	4	Euro Ice Hockey Challenge	Slovenia	1763	1935	20	17
2015.04.10	Austria	3	2		Hungary	1760	1968	21	16
2004.12.19	Croatia	8	0		Hungary	1690	1174	21	29
2018.04.23	Italy	3	2	World Championship Division IA	Hungary	1825	1734	18	21
2001.11.11	Netherlands	10	1	Szekesfehervar Tournament	Hungary	1578	1349	23	26
1993.03.12	South Africa	20	2	World Championship C	Slovenia	1122	824	31	35
1971.12.05	Austria	6	1		Hungary	1553	1507	15	17
2011.04.08	Slovenia	4	5		Hungary	1781	1951	20	14
2011.04.22	Spain	13	1	World Championship Division I	Hungary	1793	1061	20	32
1989.12.17	Denmark	1	5		Denmark	1256	1313	21	20
2005.11.13	Romania	9	0	 tournament	Hungary	1663	1298	21	27
1997.03.28	Romania	0	2	World Championship C	Estonia	1429	1431	25	24
2016.02.11	Lithuania	4	0	Olympic Games qualifier	Hungary	1855	1414	18	25
1996.03.26	Estonia	5	5	World Championship C	Slovenia	1327	1771	26	18
1971.02.27	Great Britain	7	6	World Championship C	the Netherlands	1558	1425	15	19
1980.01.16	Yugoslavia	4	4	Magyar Nemzet Cup	Hungary	1459	1551	18	16
2007.04.11	Norway	1	6		Hungary	1694	1847	22	16
1927.01.28	Czechoslovakia	0	5	European Championship	Austria	1622	1900	12	8
1991.12.07	Yugoslavia	3	3	Sofia Tournament	Bulgaria	1184	1503	24	17
1995.03.21	Ukraine	1	9	World Championship C	Bulgaria	1231	1987	28	12
1939.02.09	Switzerland	2	5	World Championship	Switzerland	1786	2174	12	4
1970.12.29	Netherlands	10	1	Pondus Cup	Denmark	1543	1167	16	22
2004.03.30	Croatia	14	4		Hungary	1664	1181	21	29
1934.01.28	Canada	0	7		Hungary	1736	2529	11	1
1999.04.09	Estonia	2	3	World Championship B	Denmark	1468	1613	25	23
2011.12.14	Poland	1	6	Euro Ice Hockey Challenge	Romania	1684	1732	23	21
2009.02.06	Italy	1	4	Olympic Games qualifier	Latvia	1800	1772	19	21
1935.01.21	Sweden	0	3	World Championship	Switzerland	1766	2092	11	3
1941.02.20	Slovakia	6	0	International Week of Winter Sports	Germany	1816	1885	11	9
1984.02.21	France	6	4		France	1434	1376	19	21
2019.05.03	Slovenia	0	6	World Championship Division IA	Kazakhstan	1716	1869	21	17
2015.04.12	Slovenia	2	4		Hungary	1755	2129	21	10
2008.04.18	Croatia	3	0	World Championship Division I	Japan	1800	1221	20	28
1985.12.29	Yugoslavia	1	5	Pondus Cup	Denmark	1369	1559	20	17
2013.11.09	Romania	5	0	Euro Ice Hockey Challenge	Hungary	1782	1328	19	26
1977.03.17	Poland	0	10	World Championship B	Japan	1520	2013	15	9
1966.02.20	Bulgaria	7	1		Bulgaria	1585	1297	15	20
1990.03.30	South Korea	10	2	World Championship C	Hungary	1289	996	22	26
1971.02.26	Bulgaria	7	6	World Championship C	the Netherlands	1540	1249	16	20
1984.03.21	Japan	6	4	Thayer Tutt Trophy	France	1448	1622	19	14
2020.02.09	Great Britain	4	1	Olympic Games qualifier	Great Britain	1766	1739	20	21
1989.03.24	Bulgaria	7	4	World Championship C	Australia	1297	1149	21	22
1934.02.03	Great Britain	2	0	World Championship	Italy	1775	1769	9	11
2006.12.17	Croatia	5	0	Bled Tournament	Slovenia	1694	1165	22	29
1999.04.12	Kazakhstan	1	5	World Championship B	Denmark	1443	1905	25	16
1964.02.03	Poland	2	6	Olympic Games B & World Champ B	Austria	1581	1882	16	7
2007.04.15	Lithuania	6	1	World Championship Division I	Slovenia	1717	1500	21	24
2009.02.05	Latvia	3	7	Olympic Games qualifier	Latvia	1839	2028	17	11
1989.03.21	China	3	5	World Championship C	Australia	1278	1406	21	19
2013.04.19	Italy	1	2	World Championship Division IA	Hungary	1771	1939	19	17
1996.01.26	Croatia	7	0	Olympic Games qualifier	Hungary	1260	1093	27	31
1996.03.29	Croatia	10	0	World Championship C	Slovenia	1341	1010	26	32
2009.04.28	Belarus	1	3	World Championship	Switzerland	1814	2122	20	10
2009.04.07	Norway	4	1		Hungary	1829	1896	18	13
2008.04.16	Japan	4	2	World Championship Division I	Japan	1797	1744	20	21
1939.02.03	Belgium	8	1	World Championship	Switzerland	1824	1505	11	18
1987.11.15	Romania	4	6	Otechestven Front Cup	Bulgaria	1283	1485	21	18
2006.04.12	Poland	4	2		Poland	1677	1747	21	19
1985.03.30	Norway	6	9	World Championship B	Switzerland	1357	1730	20	13
2009.11.08	Slovenia	1	3	Budapest Tournament	Hungary	1759	1878	20	16
2019.12.14	Ukraine	4	2	Euro Ice Hockey Challenge	Hungary	1706	1383	21	27
2013.04.09	Japan	7	0	 tournament	Hungary	1762	1745	19	20
2017.04.25	South Korea	1	3	World Championship Division IA	Ukraine	1828	1876	19	18
1972.03.03	Denmark	11	4	World Championship C	Romania	1533	1133	15	22
2011.11.13	Austria	1	4	Euro Ice Hockey Challenge	Hungary	1710	1900	22	17
1982.03.27	Bulgaria	7	3	World Championship C	Spain	1446	1195	19	22
2016.04.15	Austria	4	0		Hungary	1861	1880	18	17
2014.04.24	Austria	4	5	World Championship Division IA	South Korea	1723	1977	22	17
1987.01.25	Denmark	1	3	Magyar Nemzet Cup	Hungary	1281	1439	21	19
1975.02.25	Denmark	6	0		Hungary	1477	1106	17	23
1967.03.21	Poland	3	7	World Championship B	Austria	1482	1882	17	10
1999.04.14	Denmark	1	5	World Championship B	Denmark	1438	1807	25	19
1966.02.15	Yugoslavia	3	2		Yugoslavia	1554	1485	16	18
1978.01.28	Romania	1	4		Romania	1528	1792	15	10
1980.03.15	Italy	0	7	Thayer Tutt Trophy	Yugoslavia	1427	1561	18	15
2004.11.12	China	4	3	Olympic Games qualifier	Norway	1674	1247	21	28
2021.08.27	Latvia	0	9	Olympic Games qualifier	Latvia	1743	2114	20	12
2014.11.08	Poland	4	6	Euro Ice Hockey Challenge	Hungary	1709	1777	22	21
1994.03.18	Slovenia	2	8	World Championship C	Slovakia	1155	1724	30	20
