datum	ellenfel	lott	kapott	tipus	helyszin	mpont	epont	mhelyezes	ehelyezes
1964.11.26	Italy	2	2	World Championship B qualifier	Hungary	1526	1611	18	14
1975.03.07	Austria	2	4	World Championship C	Bulgaria	1461	1464	18	17
1969.03.02	Netherlands	13	1	World Championship C	Yugoslavia	1487	1245	17	21
1962.11.27	France	5	2		Hungary	1631	1430	15	18
2007.04.16	Slovenia	1	4	World Championship Division I	Slovenia	1696	1806	22	18
1986.12.27	Denmark	5	4	Pondus Cup	Denmark	1262	1341	21	20
1996.03.28	Slovenia	3	4	World Championship C	Slovenia	1324	1697	26	20
1972.03.08	Austria	3	4	World Championship C	Romania	1446	1538	18	16
1970.02.11	Denmark	9	4		Hungary	1559	1198	15	22
1975.03.08	Denmark	17	3	World Championship C	Bulgaria	1475	1080	17	23
1989.10.21	Yugoslavia	2	7		Yugoslavia	1267	1612	21	17
2019.04.05	Sweden	3	4		Hungary	1749	2512	20	2
1981.01.07	Romania	3	11		Romania	1384	1830	19	10
1971.03.01	Romania	3	3	World Championship C	the Netherlands	1566	1660	15	13
1986.01.08	Yugoslavia	2	6	Magyar Nemzet Cup	Hungary	1318	1575	20	16
2018.04.25	Slovenia	1	4	World Championship Division IA	Hungary	1786	1949	19	16
2005.04.23	Poland	1	1	World Championship Division I	Hungary	1642	1771	21	20
1974.03.15	North Korea	10	2	World Championship C	France	1497	1008	17	24
1984.01.19	Bulgaria	11	3	Magyar Nemzet Cup	Hungary	1418	1068	18	22
1991.03.31	North Korea	6	2	World Championship C	Denmark	1194	1017	22	26
2001.04.17	Poland	0	3	World Championship Division I	France	1471	1742	24	20
